EXP,BETA,CPU_TAT,CPU_WT,CPU_RT,CPU_CS,IO_TAT,IO_WT,IO_RT,IO_CS,Parent_TAT,Parent_WT,Parent_RT,Parent_CS
1,1,337,169,1,169,1851,168,0,1684,1853,1851,0,12
2,2,337,169,1,169,1848,168,0,1681,1850,1849,0,11
3,3,337,170,3,168,1848,168,1,1681,1850,1849,1,11
4,4,341,172,3,170,1855,172,1,1684,1857,1854,0,13
5,5,339,170,1,170,1854,169,0,1686,1856,1854,0,12
6,6,393,197,1,197,1876,196,0,1681,1878,1877,0,11
7,7,337,170,3,168,1846,169,1,1678,1847,1845,0,12
8,8,335,168,1,168,1842,167,0,1676,1844,1842,0,12
9,9,333,167,1,167,1845,167,0,1679,1847,1844,0,13
10,10,336,169,1,169,1844,167,0,1678,1846,1846,0,10
11,11,335,168,1,168,1867,168,0,1700,1868,1867,0,11
12,12,397,199,1,199,1880,199,0,1682,1881,1880,0,11
13,13,333,167,1,167,1848,167,0,1682,1850,1848,0,12
14,14,335,169,3,167,1847,168,1,1680,1849,1848,1,11
15,15,337,169,1,169,1860,169,0,1692,1863,1861,0,12
16,16,335,168,1,168,1853,168,0,1686,1855,1854,0,11
17,17,337,169,1,169,1855,169,0,1687,1857,1855,0,12
18,18,335,168,1,168,1842,167,0,1676,1845,1843,1,12
19,19,336,169,2,168,1856,169,1,1688,1858,1857,1,11
20,20,346,174,1,173,1850,173,0,1678,1852,1850,0,12
21,21,333,167,1,167,1845,166,0,1680,1847,1847,0,10
22,22,335,168,1,168,1840,168,0,1673,1842,1840,0,12
23,23,333,167,1,167,1837,167,0,1671,1839,1838,0,11
24,24,391,196,1,196,1876,195,0,1682,1878,1877,0,11
25,25,335,168,1,168,1845,167,0,1679,1847,1845,0,12
26,26,335,169,3,167,1852,168,1,1685,1854,1852,1,12
27,27,393,197,1,197,1870,196,0,1675,1872,1870,0,12
28,28,333,167,1,167,1848,166,0,1683,1851,1850,1,11
29,29,333,167,1,167,1838,166,0,1673,1839,1838,0,11
30,30,333,167,1,167,1852,167,0,1686,1853,1852,0,11
31,31,341,172,3,170,1848,170,1,1679,1850,1849,1,11
32,32,339,171,3,169,1876,174,1,1703,1878,1877,1,11
33,33,341,172,3,170,1864,171,1,1694,1866,1865,1,11
36,36,335,169,3,167,1858,168,1,1691,1859,1858,1,11
37,37,336,169,2,168,1860,168,1,1693,1862,1861,1,11
38,38,335,168,1,168,1839,167,0,1673,1841,1839,0,12
39,39,335,169,3,167,1849,167,1,1683,1851,1848,0,13
40,40,333,167,1,167,1842,166,0,1677,1844,1842,0,12
42,42,337,169,1,169,1842,168,0,1675,1844,1843,0,11
43,43,335,168,1,168,1837,167,0,1671,1838,1837,0,11
44,44,339,170,1,170,1843,169,0,1675,1845,1843,0,12
45,45,333,167,1,167,1876,166,0,1711,1877,1876,0,11
46,46,335,168,1,168,1838,168,0,1671,1839,1837,0,12
47,47,338,170,1,169,1850,169,0,1682,1852,1851,0,11
48,48,339,170,1,170,1855,169,0,1687,1857,1855,0,12
49,49,333,167,1,167,1841,166,0,1676,1843,1841,0,12
50,50,333,167,1,167,1853,166,0,1688,1855,1853,0,12
51,51,333,167,1,167,1838,166,0,1673,1840,1838,0,12
52,52,339,171,3,169,1844,169,1,1676,1846,1844,0,12
53,53,337,170,3,168,1836,168,1,1669,1838,1837,1,11
54,54,334,168,1,168,1835,166,0,1670,1837,1835,0,12
55,55,339,170,1,170,1878,169,0,1710,1879,1878,0,11
56,56,335,169,3,167,1840,167,1,1674,1842,1841,1,11
57,57,351,177,3,175,1876,175,1,1702,1878,1875,0,13
58,58,337,169,1,169,1847,168,0,1680,1849,1848,0,11
59,59,333,167,1,167,1859,167,0,1693,1861,1859,0,12
60,60,333,168,3,166,1835,166,1,1670,1837,1836,1,11
61,61,341,171,1,171,1851,170,0,1682,1853,1852,0,11
62,62,340,171,2,170,1851,170,1,1682,1853,1852,1,11
63,63,337,169,1,169,1847,169,0,1679,1849,1847,0,12
64,64,337,170,3,168,1856,168,1,1689,1858,1855,0,13
65,65,342,172,1,172,1847,170,0,1678,1848,1847,0,11
66,66,391,196,1,196,1865,195,0,1671,1867,1866,0,11
67,67,391,196,1,196,1865,195,0,1671,1867,1865,0,12
68,68,333,167,1,167,1835,167,0,1669,1837,1834,0,13
69,69,338,171,3,168,1842,169,1,1674,1844,1842,0,12
70,70,333,167,1,167,1832,166,0,1667,1834,1833,0,11
71,71,393,197,1,197,1871,197,0,1675,1872,1870,0,12
72,72,343,173,3,171,1850,171,1,1680,1852,1850,0,12
73,73,393,198,3,196,1865,196,1,1670,1867,1865,1,12
74,74,333,167,1,167,1832,166,0,1667,1834,1832,0,12
75,75,333,167,1,167,1831,166,0,1666,1833,1831,0,12
76,76,341,171,1,171,1847,171,0,1677,1849,1848,0,11
77,77,338,170,1,169,1870,170,0,1701,1871,1870,0,11
78,78,337,170,3,168,1849,168,1,1682,1851,1850,1,11
79,79,335,169,3,167,1838,167,1,1672,1840,1839,1,11
80,80,339,171,3,169,1841,170,1,1672,1843,1841,0,12
81,81,335,168,1,168,1840,167,0,1674,1842,1840,0,12
82,82,393,198,3,196,1865,196,1,1670,1867,1865,0,12
83,83,331,166,1,166,1830,165,0,1666,1832,1831,0,11
84,84,331,166,1,166,1833,166,0,1668,1835,1833,0,12
85,85,392,197,1,197,1867,195,0,1673,1869,1868,0,11
86,86,333,167,1,167,1866,167,0,1700,1868,1867,0,11
87,87,339,170,1,170,1859,169,0,1691,1861,1859,0,12
88,88,341,171,1,171,1852,170,0,1683,1854,1852,0,12
89,89,339,170,1,170,1848,169,0,1680,1851,1849,0,12
90,90,341,172,3,170,1850,171,1,1680,1852,1850,1,12
91,91,333,167,1,167,1838,167,0,1672,1840,1838,0,12
92,92,335,168,1,168,1834,167,0,1668,1836,1834,0,12
94,94,332,167,1,167,1831,166,0,1666,1832,1830,0,12
95,95,333,167,1,167,1833,166,0,1668,1835,1834,0,11
96,96,335,168,1,168,1848,167,0,1682,1850,1848,0,12
97,97,339,170,1,170,1854,169,0,1686,1856,1854,0,12
98,98,333,167,1,167,1833,166,0,1668,1835,1833,0,12
99,99,391,196,1,196,1863,196,0,1668,1865,1863,0,12
100,100,334,168,2,167,1836,167,1,1670,1838,1836,1,12
1,1000,531,276,3,256,2650,339,1,2312,2652,2650,0,12
2,1100,615,315,3,301,3072,352,1,2721,3075,3074,0,11
3,1200,618,314,1,305,3316,339,0,2978,3319,3317,0,12
4,1300,670,341,1,331,3026,388,0,2639,3029,3028,0,11
5,1400,560,285,3,276,3125,296,1,2830,3128,3126,1,12
6,1500,544,274,3,271,2843,368,1,2476,2845,2843,0,12
7,1600,633,335,3,299,3141,391,1,2751,3143,3141,0,12
