alpha,beta,ctrl_i,memtest,thresholds,swap_ops,total_pages
10,10,True,True,"[(100, 4), (90, 4), (81, 4), (73, 4), (66, 4), (60, 4), (54, 4), (49, 4), (45, 4), (41, 4), (37, 4), (34, 4), (31, 4), (28, 4), (26, 4), (24, 4), (22, 4), (20, 4), (18, 4), (17, 4), (16, 4), (15, 4), (14, 4), (13, 4), (12, 4), (11, 4), (10, 4), (9, 4), (9, 4), (9, 4), (9, 4)]",31,124
10,20,True,True,"[(100, 4), (80, 4), (64, 4), (52, 4), (42, 4), (34, 4), (28, 4), (23, 4), (19, 4), (16, 4), (13, 4), (11, 4), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4)]",17,68
10,30,True,True,"[(100, 4), (70, 4), (49, 4), (35, 4), (25, 4), (18, 4), (13, 4), (10, 4), (7, 4), (5, 4), (4, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4)]",17,68
10,40,True,True,"[(100, 4), (60, 4), (36, 4), (22, 4), (14, 4), (9, 4), (6, 4), (4, 4), (3, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4)]",17,68
10,50,True,True,"[(100, 4), (50, 4), (25, 4), (13, 4), (7, 4), (4, 4), (2, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
10,60,True,True,"[(100, 4), (40, 4), (16, 4), (7, 4), (3, 4), (2, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
10,70,True,True,"[(100, 4), (30, 4), (9, 4), (3, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
10,80,True,True,"[(100, 4), (20, 4), (4, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
10,90,True,True,"[(100, 4), (10, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
10,100,True,True,"[(100, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4)]",16,64
20,10,True,True,"[(100, 4), (90, 4), (81, 4), (73, 4), (66, 4), (60, 4), (54, 4), (49, 4), (45, 4), (41, 4), (37, 4), (34, 4), (31, 4), (28, 4), (26, 4), (24, 4), (22, 4), (20, 4), (18, 4), (17, 4), (16, 4), (15, 4), (14, 4), (13, 4), (12, 4), (11, 4), (10, 4), (9, 4), (9, 4), (9, 4), (9, 4)]",31,124
20,20,True,True,"[(100, 4), (80, 4), (64, 4), (52, 4), (42, 4), (34, 4), (28, 4), (23, 4), (19, 4), (16, 4), (13, 4), (11, 4), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4)]",17,68
20,30,True,True,"[(100, 4), (70, 4), (49, 4), (35, 4), (25, 4), (18, 4), (13, 4), (10, 4), (7, 4), (5, 4), (4, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4), (3, 4)]",17,68
20,40,True,True,"[(100, 4), (60, 4), (36, 4), (22, 4), (14, 4), (9, 4), (6, 4), (4, 4), (3, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4), (2, 4)]",17,68
20,50,True,True,"[(100, 4), (50, 4), (25, 4), (13, 4), (7, 4), (4, 4), (2, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
20,60,True,True,"[(100, 4), (40, 4), (16, 4), (7, 4), (3, 4), (2, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
20,70,True,True,"[(100, 4), (30, 4), (9, 4), (3, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
20,80,True,True,"[(100, 4), (20, 4), (4, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
20,90,True,True,"[(100, 4), (10, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4), (1, 4)]",17,68
20,100,True,True,"[(100, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4), (0, 4)]",16,64
30,10,True,True,"[(100, 4), (90, 5), (81, 6), (73, 7), (66, 9), (60, 11), (54, 14), (49, 18), (45, 23), (41, 29), (37, 37)]",11,163
30,20,True,True,"[(100, 4), (80, 5), (64, 6), (52, 7), (42, 9), (34, 11), (28, 14), (23, 18), (19, 23), (16, 29), (13, 37)]",11,163
